"Interal Reference","Description","Retail","POS Category"
"04133103318","GOYA CHORIZO - REDUCED SODIUM",2.49,"Grocery"
"04133103321","VIENNA SAUSAGE 4.6 OZ",.99,"Grocery"
"04133103322","VIENNA SAUSAGE 9 OZ",1.99,"Grocery"
"04133103324","VIENNA SAUSAGE HOT SAUCE 4.6",.99,"Grocery"
"04133103327","GOYA CHICKEN VIENNA 4.6 OZ",.99,"Grocery"
"04133103328","GOYA CHICKEN VIENNA 9 OZ",1.99,"Grocery"
"05340034046","SAVOY SAUSAGE 4.75 OZ",.99,"Grocery"
"08831326158","DUCAL BLACK BEANS DOY-PACK",.99,"Grocery"
"08831326144","DUCAL BLACK BEANS DOY-PACK",1.39,"Grocery"
"08831359079","DUCAL RED BEANS DOY PACK",.99,"Grocery"
"08610601165","FESTY STRAWBERRY TRAY CREME",1.69,"Grocery"
"08610601160","FESTY VANILLA TRAY CREME",1.69,"Grocery"
"08610601162","FESTY DUPLEX TRAY CREME",1.69,"Grocery"
"08831359074","DUCAL RED BEANS DOY PACK",1.39,"Grocery"
"74354204405","CAMPOFRIO SALCHIC.CERVERC2.5LB",17.19,"Grocery"
"74354204406","CAMPOFRIO SACHIC.CERVECERO 1LB",6.99,"Grocery"
"74354204402","CAMPOFRIO MALLITA SALAMI 2.5LB",17.19,"Grocery"
"74354204403","CAMPOFRIO MALLITA SALAMI 1 LB",6.99,"Grocery"
"74354204408","SALAMI HIGUERAL POPULAR 1 LB",4.89,"Grocery"
"74354204407","SALAMI HIGUERAL POPULAR 2.5 LB",12.09,"Grocery"
"74354204404","HIGUERAL MALLITA POPULAR 2PK",11.79,"Grocery"
"74354204400","CAMPOFRIO HIGUERAL SALCHIC2.5L",16.79,"Grocery"
"74354204401","CAMPOFRIO HIGUERAL SALCHIC 1LB",6.79,"Grocery"
"74354204409","JAMONADA HIGUERAL",8.49,"Grocery"
"04133103358","GOYA COOKED HAM 16 OZ.",4.99,"Grocery"
"04133103361","CORNED BEEF",5.19,"Grocery"
"04133103368","GOYA ROAST BEEF 12 OZ.",5.59,"Grocery"
"74133103374","SALCHICHON DOMINICANO 1 LB",5.19,"Grocery"
"04133103379","SALAMI-SALCHICHON  8 OZ",5.29,"Grocery"
"04133103380","SALAMI-SALCHICHON  12 OZ",7.69,"Grocery"
"04133103381","LUNCHEON MEAT  12 OZ",2.99,"Grocery"
"04133103387","POTTED MEAT  3 OZ",.69,"Grocery"
"04133103388","POTTED MEAT  5 1/2 OZ",1.09,"Grocery"
"04133103401","LARD-MANTECA  1 LB",2.49,"Grocery"
"04133103402","LARD-MANTECA  2 1/2 LB",5.99,"Grocery"
"04133103403","LARD-MANTECA  4 LB",9.59,"Grocery"
"04741622999","DUX SEMILLAS Y CEREALES",2.89,"Grocery"
"04133103519","COD IN BAG  1 LB",6.39,"Grocery"
"04133103520","BONELESS COD IN BAG  1 LB",7.29,"Grocery"
"04133103521","BONELESS POLLOCK    1 LB",4.29,"Grocery"
"04133103523","POLLOCK FILLETS 1 LB",3.99,"Grocery"
"04133103524","SMOKED HERRING FILLET 12 OZ.",5.99,"Grocery"
"04133103525","SALTED COD FILLETS 32 OZ.",25.39,"Grocery"
"04133103540","DUCAL REF.BEANS PL TIGO PROMO",1.89,"Grocery"
"08831300055","DUCAL R RED BEAN 29OZ+20% FREE",3.19,"Grocery"
"08831300294","DUCAL RFRD BLK BEANS DOY PACK",2.99,"Grocery"
"08831300454","DUCAL RED SILK RFRD BEANS 28OZ",3.19,"Grocery"
"08831300323","DUCAL RFRD BLK BEAN DOY PACK",6.29,"Grocery"
"08831300136","DUCAL BLACK REFRIED BEANS",1.89,"Grocery"
"08831300117","DUCAL RED REFRIED BEANS",1.89,"Grocery"
"08831300120","DUCAL BLK/RFRD BEAN W/JALAPENO",1.99,"Grocery"
"08831300118","DUCAL WHOLE BLK BEANS",1.79,"Grocery"
"08831300496","DUCALE RTE TAMALES IN DOYPACK",2.49,"Grocery"
"08831300491","DUCAL MNGO PNAPL NECTAR 1/12PK",6.69,"Grocery"
"08831300199","DUCAL RED SILK RFRD BEANS 14.1",1.69,"Grocery"
"08831300492","DUCAL APL PEACH NECTR FRD12PK",6.69,"Grocery"
"04133103609","SARDINES LEMON  4 1/4 OZ",2.29,"Grocery"
"04133103610","SARDINES OLIVE OIL  4 1/4 OZ",2.39,"Grocery"
"04133103611","SARDINES SPICE  4 1/4 OZ",2.29,"Grocery"
"04133103612","SARDINES TMTO SAUCE  4 1/4 OZ",2.29,"Grocery"
"04133103613","OVAL SARDINE TMTO SAUCE  15 OZ",1.89,"Grocery"
"04133103615","SARDINE TMTO SCE-TINAPA 5.5 OZ",1.19,"Grocery"
"04133103616","OVAL SARDINE HOT SAUCE 15 OZ",1.89,"Grocery"
"04133103617","SARDINE TMTO HOT-TINAPA 5.5 OZ",1.19,"Grocery"
"04133103620","OVAL SARDINES IN VEG OIL 15 OZ",2.39,"Grocery"
"04133103621","JACK MACKEREL  15 OZ",1.59,"Grocery"
"04133103622","GOYA ANGULAS SURIMI 3.88 OZ",3.89,"Grocery"
"04133103624","BACALAO VIZCAINA  4 OZ",4.79,"Grocery"
"04133103625","BONITO/ALBACORE OLIVE OIL 4 OZ",4.29,"Grocery"
"04133103626","BONITO IN TOMATE SAUCE  4 OZ",4.29,"Grocery"
"04133103627","SARDINILLA  4 1/4 OZ",2.89,"Grocery"
"04133103630","MEJILLONES ESCABECHE  4 OZ",3.09,"Grocery"
"04133103631","JACK MACKEREL IN TOMATO SAUCE",1.69,"Grocery"
"04133103632","CALAMARES EN SU TINTA  4 OZ",1.49,"Grocery"
"04133103633","FLTE CALAMARES TINTA  4 OZ",2.79,"Grocery"
"04133103634","CALAMARES EN TINTA PICANTE 4OZ",1.79,"Grocery"
"04133103637","PULPO OLIVE OIL  4 OZ",2.49,"Grocery"
"04133103638","PULPO A LA MARINERA  4 OZ",1.59,"Grocery"
"04133103639","PULPO GARLIC SAUCE  4 OZ",1.59,"Grocery"
"04133103640","PULPO HOT SAUCE  4 OZ",1.59,"Grocery"
"04133103641","OVAL SARDINE JALAPENO 15 OZ.",2.59,"Grocery"
"04133103643","OVAL SARDINE CHIPOTLE 15 OZ.",2.39,"Grocery"
"04133103647","GOYA TUNA/CORN-ATUN/ELOTE 5.82",2.29,"Grocery"
"04133103648","TUNA/MX VEG-ATUN/MX VEG 5.82",2.29,"Grocery"
"04133103649","TUNA/JLPNO-ATUN/JLPNO  5.82 OZ",2.29,"Grocery"
"04133103655","GOYA MINCED CLAMS",1.99,"Grocery"
"659740011356","VAN ECUADOR OIL TUNA 5.3 OZ.",2.79,"Grocery"
"04133103664","PINK SALMON  14.75 OZ.",5.39,"Grocery"
"04133103680","GOYA DULCE LECHE     15 OZ",3.79,"Grocery"
"04133103681","GOYA SQUEEZE DULCE LECHE 14 OZ",3.79,"Grocery"
"04133103690","SWEETENED CONDENSED MILK 14 OZ",2.19,"Grocery"
"04133103691","GOYA EVAPORATED MILK",1.29,"Grocery"
"04133151220","NELA SWTENED CONDENS FILL MILK",2.09,"Grocery"
"04133153696","NELA EVAPORATED FILLED MILK 12",1.39,"Grocery"
"04133164161","NELA QUESO DE PAPA 10 OZ",5.69,"Grocery"
"04133103701","BABY GOUDA  7 OZ",5.29,"Grocery"
"04133103708","QUESO BLANCO 12/10 OZ.",5.59,"Grocery"
"04133103709","QUESO DE FREIR 12/10 OZ.",5.69,"Grocery"
"04133103712","MANCHEGO CHEESE    12/8.82 OZ",9.99,"Grocery"
"04133103724","TILO/LINDEN FLOWER .2 OZ",2.79,"Grocery"
"04133103726","GROUND OREGANO  1.25OZ",2.99,"Grocery"
"04133103727","ALL SPICE  1.5 OZ",3.59,"Grocery"
"04133103728","ANIS SEED  1.8 OZ",3.39,"Grocery"
"04133103729","WHOLE CLOVES  1.2 OZ",3.99,"Grocery"
"04133103732","WHOLE BLACK PEPPER  1.8 OZ",4.49,"Grocery"
"04133103733","GARLIC SALT  4.2 OZ",2.89,"Grocery"
"04133103736","STAR ANIS  .75 OZ",3.19,"Grocery"
"04133103737","BAY LEAF  .20 OZ",2.49,"Grocery"
"04133103740","STICK CINNAMON  1.2 OZ",2.69,"Grocery"
"04133103741","CHILI POWDER  2.5 OZ",3.39,"Grocery"
"04133103742","JAMAICAN CURRY POWDER  1.75 OZ",2.89,"Grocery"
"04133103743","CUMMIN SEED  1.5 OZ",3.29,"Grocery"
"04133103746","GROUND CUMMIN  1.8 OZ",2.49,"Grocery"
"04133103748","GARLIC POWDER  2.6 OZ",2.99,"Grocery"
"04133103750","GROUND CINNAMON  2.1 OZ",2.89,"Grocery"
"04133103756","ONION POWDER  2.5 OZ",2.99,"Grocery"
"04133103760","MANZANILLA/CAMOMILE .40 OZ",3.19,"Grocery"
"04133103761","CRUSHED RED PEPPER  1.2 OZ",2.69,"Grocery"
"04133103763","PAPRIKA  2.17 OZ",2.99,"Grocery"
"04133103767","GROUND BLACK PEPPER 1.8 OZ",2.99,"Grocery"
"04133103769","SAZON GOYA NAT Y COMP 3.52",2.49,"Grocery"
"04133103772","SAZON GOYA ECONO SHIPPER CUL/A",2.39,"Grocery"
"04133103773","SAZON CLNTRO/ACHTE 36 ENV/6.33",3.99,"Grocery"
"04133103774","SAZON AJO Y CEBOLLA 3.52 OZ",2.49,"Grocery"
"04133103776","SAZON CLNTRO/ACHTE JUMB 6.33OZ",3.99,"Grocery"
"04133103777","SAZON AZAFRAN ECONOPAK 3.52OZ",2.39,"Grocery"
"04133103778","20/SAZON GOYA ECONOPAK 3.52 OZ",2.39,"Grocery"
"04133103779","SAZON CLNTRO/ACHTE ECON 3.52OZ",2.39,"Grocery"
"04133103781","SAZON GOYA FAMILY 12ENV/2.11OZ",1.39,"Grocery"
"04133103782","SAZON CLNTRO/ACHTE",1.09,"Grocery"
"04133103784","SAZON GOYA AZAFRAN 8ENV",1.09,"Grocery"
"04133103785","LA VINA GOLD COOK WINE",1.99,"Grocery"
"04133103786","SAZON CILANTRO Y TOMAT 8 ENV",1.09,"Grocery"
"04133103787","LA VINA RED COOK WINE 25.4 OZ",1.99,"Grocery"
"04133103789","LA VINA WHITE COOK WINE 25.4OZ",1.99,"Grocery"
"04133103790","SAZON CULANTRO Y ACHIOTE L SOD",2.49,"Grocery"
"04133103791","TACO SEASONING MIX",1.49,"Grocery"
"04133103792","PICADILLO SEASONING MIX",.00,"Grocery"
"04133103793","FAJITA SEASONING MIX",1.49,"Grocery"
"04133103794","SAZ CULANT/ACHIOTE JUM LOW SOD",4.29,"Grocery"
"08901610057","EDMUNDO GOLDEN COOK WINE 25.4O",2.69,"Grocery"
"04133103801","GOYA SALT 33% LESS SODIUM",3.09,"Grocery"
"04133103802","SAZONADOR TOTL CON PMENTA GOYA",2.59,"Grocery"
"04133103804","WHITE COOKING WINE 25.4 OZ",2.29,"Grocery"
"04133103805","RED COOKING WINE 25.4 OZ",2.29,"Grocery"
"04133103806","OREGANO LEAF 1.5 OZ.",2.19,"Grocery"
"04133103807","OREGANO LEAF  .40 OZ",3.19,"Grocery"
"04133103808","GOLDEN COOKING WINE 25.4 OZ",2.29,"Grocery"
"04133103810","GARLIC POWDER  8 OZ",3.69,"Grocery"
"04133103811","GROUND CUMMIN  5.5 OZ",3.29,"Grocery"
"04133103812","ONION POWDER   6.75 OZ",3.99,"Grocery"
"04133103813","BAY LEAF .75 OZ.",1.99,"Grocery"
"04133103814","GROUND PEPPER  6 OZ",4.49,"Grocery"
"04133103815","SALT  26 OZ",1.09,"Grocery"
"04133103816","ADOBO WITH LEMON  8 OZ",1.49,"Grocery"
"04133103817","ADOBO CON NARANJA AGRIA 8 OZ",1.49,"Grocery"
"04133103819","ADOBO CON PIQUE 8 OZ",1.49,"Grocery"
"04133103820","ADOBO WITH CUMMIN  8 OZ",1.29,"Grocery"
"04133103821","ADOBO WITH CUMMIN  12 OZ",1.99,"Grocery"
"04133103822","ADOBO WITH CUMMIN  16.5 OZ",2.39,"Grocery"
"04133103823","ADOBO WITHOUT PEPPER 12 OZ",1.99,"Grocery"
"04133103824","ADOBO WITH PEPPER 12 OZ",1.99,"Grocery"
"04133103827","ADOBO WITH PEPPER 16.5 OZ",2.39,"Grocery"
"04133103828","ADOBO WITH PEPPER  8 OZ",1.29,"Grocery"
"04133103829","ADOBO WITHOUT PEPPER  8 OZ",1.29,"Grocery"
"04133103830","ADOBO WITHOUT PEPPER 16.5 OZ",2.39,"Grocery"
"04133103831","ACHIOTE/ANNATTO SEED  2.6 OZ",2.79,"Grocery"
"04133103832","ACHIOTE/ANNATTO SEED  8 OZ",2.99,"Grocery"
"04133103834","ADOBO NARANJA AGRIA  16.5 OZ.",2.69,"Grocery"
"04133103835","ADOBO CON LIMON  16.5 OZ.",2.69,"Grocery"
"04133103836","ADOBO LIGHT WITH PEPPER 8 OZ",1.49,"Grocery"
"04133103837","HAM FLAVORED CONC  8 ENV",.99,"Grocery"
"04133103838","HAM FLAVOR CONCENTRATE 20 PKTS",2.39,"Grocery"
"04133103839","ADOBO LIGHT WITHOUT PEPPER 8OZ",1.49,"Grocery"
"04133103840","SALAD AND VEG. SEASONING 8 ENV",.99,"Grocery"
"04133103841","GOYA SALAD & VEGETABLE SEASONI",2.45,"Grocery"
"04133103842","ADOBO CON PMTA  28 OZ",3.89,"Grocery"
"04133103843","ADOBO SIN PMTA  28 OZ",3.89,"Grocery"
"04133103844","ADOBO CON COMINO  28 0Z",3.89,"Grocery"
"04133103845","CRUZMALTA YERBAMATE BAG 2.7 OZ",1.49,"Grocery"
"04133103846","CRUZ MALTA YERBA MATE",7.79,"Grocery"
"04133103847","CRUZ MALTA YERBA MATE  17.6 OZ",4.69,"Grocery"
"04133103848","CRUZ MALTA YERBA MATE NARANJA",4.69,"Grocery"
"04133103849","CRUZ MALTA YERBA MATE LIMON",4.69,"Grocery"
"04133103851","RED HOT TABASCO PEPPERS 3 OZ",1.19,"Grocery"
"04133103852","RED HOT TABASCO PEPPERS 6 OZ",2.39,"Grocery"
"04133103853","GREEN HOT TABASCO PEPPERS 3 OZ",1.19,"Grocery"
"04133103854","GREEN HOT TABASCO PEPPERS 6 OZ",2.39,"Grocery"
"04133103855","RED HOT SAUCE 3 OZ",.59,"Grocery"
"04133103856","ADOBO CON AZAFRAN  8 OZ",1.49,"Grocery"
"04133103857","RED HOT SAUCE  6 OZ",.89,"Grocery"
"04133103858","ADOBO CON AZAFRAN  16.5 OZ",2.79,"Grocery"
"04133103859","RED HOT SAUCE  12 OZ",1.79,"Grocery"
"04133103860","ADOBO LIGHT WITH PEPPER 28 OZ",4.39,"Grocery"
"04133103861","ADOBO LIGHT WITHOUT PEPPER 28",4.39,"Grocery"
"04133103862","GOYA KETCHUP   16/20 OZ.",1.99,"Grocery"
"04133103863","SALSA DE ESPAGUETI TRADITIONAL",.00,"Grocery"
"04133103864","SALSA DE ESPEGUITI TRADITIONAL",2.79,"Grocery"
"04133103867","MAYONNAISE 16 OZ.",2.59,"Grocery"
"04133103868","MAYONNAISE 30 OZ.",3.79,"Grocery"
"04133103869","MAYONNAISE W/LIME 16 OZ.",2.59,"Grocery"
"04133103870","MAYONNAISE W/LIME 30 OZ.",3.79,"Grocery"
"04133103871","GOYA MAYOKETCHUP 12/16 OZ.",2.79,"Grocery"
"04133103872","GOYA MINCED GARLIC SHIPPER",1.79,"Grocery"
"04133103874","ADOBO CON LIMON 28 OZ",4.39,"Grocery"
"04133103875","HAM FLAVORED CONC RED SOD 8ENV",1.19,"Grocery"
"04133103876","BREAD CRUMBS W/SAZONADOR TOTAL",2.29,"Grocery"
"04133103877","ADOBO CON NARANJA 28 OZ",4.39,"Grocery"
"04133103878","PASTA SAUCE GARLIC/CILANTRO",2.79,"Grocery"
"04133103879","PASTA SAUCE MARINARA",2.79,"Grocery"
"04133103880","PASTA MEAT SAUCE 25 OZ.",2.99,"Grocery"
"04133103881","PASTA SAUCE TOMATO & BASIL",2.79,"Grocery"
"04133103882","SAZONADOR TOTAL",7.49,"Grocery"
"04133103883","SAZONADOR TOTAL GOYA",3.89,"Grocery"
"04133103884","SAZONADOR TOTAL GOYA 11 OZ.",2.59,"Grocery"
"04133103885","SAZONADOR TOTAL GOYA 5.5 OZ.",1.69,"Grocery"
"04133103887","ACHIOTINA VEGETAL 10.25 OZ",2.79,"Grocery"
"04133103888","ACHIOTINA  5 OZ",1.89,"Grocery"
"04133103889","ACHIOTINA  10.25 OZ",2.79,"Grocery"
"04133103890","GOYA SEA SALT 23 OZ.",2.19,"Grocery"
"04133103891","VANILLA EXTRACT  1 OZ",3.59,"Grocery"
"04133103892","GOYA ADOBO CON PIMIENTA",.00,"Grocery"
"04133103893","GOYA ADOBO SIN PIMIENTA",.00,"Grocery"
"04133103894","SAZONADOR TOTAL SHIPPER 11 OZ.",2.99,"Grocery"
"04133103903","ADOBO CON CULANTRO Y ACHIOTE",1.49,"Grocery"
"04133103904","ADOBO CON CULANTRO Y ACHIOTE",4.39,"Grocery"
"04133103905","GOYA SQUEEZE MINCED GARLIC",4.39,"Grocery"
"04133103907","SALSA CHIPOTLE 7 OZ.",1.19,"Grocery"
"04133103909","GOYA DICED TOMATOES 24/14.5 OZ",1.19,"Grocery"
"04133103910","GOYA CHOPPED GARLIC 32 OZ",3.79,"Grocery"
"04133103911","GOYA GARLIC PASTE 28 OZ",4.29,"Grocery"
"04133103912","GOYA GARLIC MINCED  4 1/2 OZ",2.09,"Grocery"
"04133103913","GOYA MINCED GARLIC  8 OZ",2.89,"Grocery"
"04133103914","GOYA MINCED GARLIC 32 OZ",3.79,"Grocery"
"04133103915","GOYA PALMITOS WHOLE CAN",2.79,"Grocery"
"04133103916","GOYA PALMITOS SALAD CUT",2.19,"Grocery"
"04133103917","GOYA WHOLE PEELED TOMATOES",1.99,"Grocery"
"04133103918","ARTICHOKE MARIN OLIVE OIL 6 OZ",1.79,"Grocery"
"04133103919","ARTICHOKE HEARTS IN BRINE 14OZ",3.79,"Grocery"
"04133103920","GOYA PIQUILLO PIMIENTOS 6.7 OZ",1.69,"Grocery"
"04133103921","FANCY RED PIMIENTOS 7 OZ",1.29,"Grocery"
"04133103922","GOYA CRUSHED TOMATOES 28 OZ.",1.99,"Grocery"
"04133103923","FANCY RED PIMIENTOS 14 OZ",1.99,"Grocery"
"04133103926","ITALIAN STYLE ROASTED PIMIENTO",2.59,"Grocery"
"04133103927","FANCY RED PIMIENTOS",1.89,"Grocery"
"04133103928","FANCY RED PIMIENTOS 6.5 OZ",1.49,"Grocery"
"04133103929","FANCY RED PIMIENTOS 4 OZ",1.39,"Grocery"
"04133103930","FANCY SLICED RED PIMIENTOS 4OZ",1.29,"Grocery"
"04133103931","CIDER VINEGAR  1 PINT",.99,"Grocery"
"07369300150","CHOCOLATE EMBAJADOR 9.17 OZ",1.69,"Grocery"
"04133103933","CIDER VINEGAR  1 QT",1.49,"Grocery"
"04133103934","GOYA HOT TOMATO SAUCE  8 OZ",.59,"Grocery"
"04133103935","WHITE VINEGAR  1 PINT",.79,"Grocery"
"04133103936","GOYA TOMATO, CLIANTRO, ONION,G",.59,"Grocery"
"04133103937","WHITE VINEGAR  1 QT",1.09,"Grocery"
"04133103938","GOYA WHITE VINEGAR 6/128 OZ.",2.99,"Grocery"
"04133103939","RED WINE VINEGAR  16 OZ",.89,"Grocery"
"04133103941","GOYA MONO-BOW 20/7 OZ.",2.19,"Grocery"
"04133103942","GOYA SODA CRACKERS",1.99,"Grocery"
"02924300102","LA MODERNA PASTA DISPLAY",.39,"Grocery"
"04133103944","CRACKER MEAL  6 OZ",1.09,"Grocery"
"04133103945","GOYA TROPICAL CRACKERS",2.59,"Grocery"
"04133103946","GOYA CALABAZA PASTA SHAPE",1.39,"Grocery"
"04133103947","TROPICAL CRACKER",.79,"Grocery"
"04133103948","LOW SODIUM TOMATO SAUCE  8 OZ",.49,"Grocery"
"04133103950","GOYA SODA CRACKERS  24 OZ",5.29,"Grocery"
"04133103951","LASAGNE 17.63 OZ.",2.69,"Grocery"
"04133103952","RIGATONI  16 OZ",.99,"Grocery"
"04133103953","GOYA TOMATO SAUCE 12/29 OZ.",1.79,"Grocery"
"04133103955","GOYA CHOCOLATE  7 OZ.",1.99,"Grocery"
"07613610300","MENIER CHOCOLATE 7 OZ.",2.59,"Grocery"
"07369300100","CORTES CHOCOLATE 7 OZ.",1.99,"Grocery"
"04133103958","CUT ZITI 16 OZ",.99,"Grocery"
"04133103959","FUSILLI  16 OZ",.99,"Grocery"
"04133103961","TOMATO SAUCE  8 OZ",.49,"Grocery"
"04133103962","PENNE RIGATE 16 OZ",.99,"Grocery"
"04133103963","SALSA DE TOMATE GOYA 15 OZ",.89,"Grocery"
"04133103964","SPAGHETTI 16 OZ",.99,"Grocery"
"04133103965","ELBOWS 16 OZ",.99,"Grocery"
"04133103966","SHELLS 16 OZ",.99,"Grocery"
"04133103967","VERMICELLI 16 OZ",.99,"Grocery"
"04133103968","TOMATO PASTE 18 OZ",1.89,"Grocery"
"04133103969","TOMATO PASTE 6 OZ",.79,"Grocery"
"04133103970","TOMATO PASTE 28 OZ",2.39,"Grocery"
"04133103971","FIDELINI  6 OZ",1.09,"Grocery"
"04133103972","VERMICELLI  7 OZ",.49,"Grocery"
"04133103973","FIDELINI  12 OZ",1.89,"Grocery"
"04133103974","FIDEO  7 OZ",.49,"Grocery"
"04133103975","CABELLO DE ANGEL 12 OZ",1.89,"Grocery"
"04133103976","CABELLO DE ANGEL 6 OZ",1.09,"Grocery"
"04133103977","LETRAS/ALPHABETS 7 OZ",.49,"Grocery"
"04133103978","LENGUA  7 OZ",.49,"Grocery"
"04133103979","CODITOS/ELBOWS 7 OZ",.49,"Grocery"
"04133103980","SPAGHETTI  7 OZ",.49,"Grocery"
"04133103981","ESTRELLAS/STARS 7 OZ",.49,"Grocery"
"04133103982","CONCHAS/SHELLS 7 OZ",.49,"Grocery"
"04133103983","THICK FIDELINI 12/12 OZ.",1.89,"Grocery"
"04133103984","MALTA GOYA 4/6 PACK  12 OZ",4.99,"Grocery"
"04133103985","LOOSE MALTA  12 OZ",1.49,"Grocery"
"04133103986","GUAVA SODA  12 OZ",.89,"Grocery"
"04133103988","PINEAPPLE SODA 12 OZ",.89,"Grocery"
"04133103990","TAMARIND SODA  12 OZ",.89,"Grocery"
"04133103992","MANADARIN ORANGE  12 OZ",.89,"Grocery"
"04133103994","LEMON LIME SODA 12 OZ",.89,"Grocery"
"04133103996","FRUIT PUNCH  12 OZ",.89,"Grocery"
"04133103998","COLA CHAMPAGN C.AMERICANA 12OZ",.89,"Grocery"
"04133104000","COCONUT SODA  12 OZ",.89,"Grocery"
"04133104002","GINGER BEER  12 OZ",.89,"Grocery"
"04133104004","STRAWBERRY SODA  12 OZ",.89,"Grocery"
"04133104006","MALTA GOYA  4/6PK  7 OZ",4.19,"Grocery"
"04133104008","MALTA GOYA 4/10 PACK  7 OZ",5.99,"Grocery"
"04133104012","MALTA LIGHT LOOSE 12 OZ",.79,"Grocery"
"04133104018","MORENA MALTA ALEMANA 12 OZ",1.09,"Grocery"
"04133104019","APPLE SODA  12 OZ",.89,"Grocery"
"04133104021","GRAPE SODA  12 OZ",.89,"Grocery"
"04133104025","MALTA 12 PACK CUBE  12 OZ",10.49,"Grocery"
"04133104032","SANGRIA 12 OZ.",.89,"Grocery"
"04133104034","GUARANA SODA 12 OZ",.89,"Grocery"
"04133104056","MALTA AZUCAR DE CANA",.89,"Grocery"
"04133104060","TROPICOLA SODA 4/6PK/12 OZ",3.59,"Grocery"
"04133104063","TROPICOCO SODA 4/6 PK 12 OZ",3.59,"Grocery"
"04133104065","GOYA CRACKERS SHIPPER",2.59,"Grocery"
"04133104100","GOYA 2 LITER COLA CHAMPAGNE",1.59,"Grocery"
"04133104101","GOYA 2 LITER TROPICOLA",1.59,"Grocery"
"04133104102","GOYA 2 LITER COCONUT SODA",1.59,"Grocery"
"04133104103","GOYA 2 LITER STRAWBERRY",1.59,"Grocery"
"04133104104","GOYA 2 LITER GINGER BEER",1.59,"Grocery"
"04133104105","GOYA 2 LITER FRUIT PUNCH",1.59,"Grocery"
"04133104106","GOYA 2 LITER PINEAPPLE SODA",1.59,"Grocery"
"04133104120","GOYA CANE COLA CHAMPAGNE LOOSE",.99,"Grocery"
"04133104121","GOYA CANE COCONUT SODA LOOSE",.99,"Grocery"
"04133104122","GOYA CANE PINEAPPLE SODA LOOSE",.99,"Grocery"
"04133104170","GOYA FLORIDA WATER 9 OZ",2.99,"Grocery"
"071512872201","GALLETAS SULTANA ESTRELLITAS",6.59,"Grocery"
"00036220591","COLADORES-COFFEE STRAINERS 1PK",2.39,"Grocery"
"07478600001","LA CUBANITA GUAVA CREAM",3.89,"Grocery"
"07478600002","LA CUBANITA GUAVA W/JELLY",4.29,"Grocery"
"07478600011","LA CUBANITA MILK CREAM",3.79,"Grocery"
"07478600016","LA CUBANITA GUAVA & MILK CREAM",3.69,"Grocery"
"07478600150","LA CUBANITA SUGAR FREE GUAVA P",5.69,"Grocery"
"04133104900","GOYA ECUADOR STYLE PLATANITOS",.79,"Grocery"
"04133104911","CASSAVA CHIPS GARLIC 4 OZ",1.79,"Grocery"
"04133104912","PLANTAIN CHIPS SHIPPER",1.99,"Grocery"
"04133104915","SWEET PLANTAIN CHIPS",1.99,"Grocery"
"04133104916","SWEET POTATO CHIPS",1.99,"Grocery"
"04133104921","GOYA BARBECUE CHICHARRONES",1.69,"Grocery"
"04133104922","TORTILLA CHIP-DELI STYLE 16 OZ",2.69,"Grocery"
"04133104924","PLANTAIN CHIPS 10 OZ",3.59,"Grocery"
"04133104925","PLANTAIN CHIPS  5 OZ",1.99,"Grocery"
"04133104927","PLANTAIN CHIPS  2 OZ.",.99,"Grocery"
"04133104932","PLANTAIN NO SALT CHIPS 5 OZ",1.99,"Grocery"
"04133104933","PLANTAIN GARLIC CHIPS 5 OZ",1.99,"Grocery"
"04133104934","PLANTAIN STRIPS  3.5 OZ",1.79,"Grocery"
"04133104935","CHICHARRONES  3 OZ",1.69,"Grocery"
"04133104936","CHICHARRONES HOT & SPICY",1.69,"Grocery"
"04133104938","CRACKLING PORK RIND 2 OZ",1.59,"Grocery"
"04133104939","CRACKLING PORK RIND 5 OZ",3.39,"Grocery"
"04133104941","CASSAVA CHIPS 4.0 OZ",1.79,"Grocery"
"04133104942","MARIA CRACKER  3.5 OZ",.79,"Grocery"
"04133104943","MARIA CRACKER  7 OZ",1.39,"Grocery"
"04133104944","MARIA CRACKERS FAM PK 28.2 OZ",3.29,"Grocery"
"04133104947","PALMERITA COOKIES  5.82 OZ",1.49,"Grocery"
"04133104948","CRACKERS",1.49,"Grocery"
"04133104951","MARIA 3 PACK (FLOW PACK)",1.99,"Grocery"
"04133104952","TROP BUTTER CRACKER  3 OZ",.79,"Grocery"
"04133104954","TROP BUTTER CRACKER  12 OZ",2.79,"Grocery"
"04133104955","SNACK CRACKERS  12 OZ",2.79,"Grocery"
"04133104957","WHL WHEAT SNACK CRACKER 12 OZ",2.79,"Grocery"
"04133104958","SESAME SEED SNK CRACKER 12 OZ",2.79,"Grocery"
"04133104959","GARLIC SNACK CRACKERS 12 OZ",2.79,"Grocery"
"04133104961","CASSAVA BREAD NAT CLASSIC 11OZ",2.49,"Grocery"
"04133104962","LADY FINGERS  7 OZ",1.39,"Grocery"
"04133104963","CASSAVA BREAD NAT CLASSIC 8OZ",1.79,"Grocery"
"04133114964","GOYA VANILLA WAFER SMK 6/12PK",4.99,"Grocery"
"04133114965","GOYA STRAWBERRY WAFER SNACK",4.99,"Grocery"
"04133114966","GOYA CHOCO WAFER SNACK 6/12 PK",4.99,"Grocery"
"04133104967","PALMERITAS 2.91 OZ.",.79,"Grocery"
